RiskAssessmentID,CustomerID,LoanID,CreditScoreAtLoan,RiskCategory,DefaultProbability,RiskMitigation
1,24,188,488,High,0.02,Collateral
2,78,119,751,Low,0.14,Collateral
3,42,71,553,Medium,0.09,None
4,59,153,576,High,0.05,Insurance
5,31,131,726,High,0.25,Co-signer
6,1,88,781,Medium,0.18,None
7,5,4,724,Low,0.25,None
8,26,146,701,High,0.08,Collateral
9,48,49,849,High,0.2,Collateral
10,96,137,568,High,0.21,Collateral
11,95,15,424,Low,0.15,None
12,69,138,835,High,0.18,Insurance
13,94,30,362,Low,0.08,None
14,76,14,556,Low,0.14,None
15,21,70,686,Low,0.21,Co-signer
16,46,193,566,Medium,0.25,Collateral
17,35,137,322,Low,0.25,None
18,98,178,364,Medium,0.2,Co-signer
19,36,159,467,High,0.05,Insurance
20,64,169,584,Medium,0.07,Insurance
21,81,180,631,High,0.13,Insurance
22,33,99,362,Medium,0.22,Co-signer
23,59,143,313,Low,0.19,Insurance
24,22,153,398,Low,0.28,None
25,97,77,843,Low,0.03,Co-signer
26,50,36,695,Medium,0.26,Insurance
27,93,164,425,Low,0.25,Insurance
28,98,129,773,Low,0.17,None
29,2,159,586,High,0.29,None
30,42,19,734,Low,0.04,Collateral
31,92,60,565,High,0.05,Collateral
32,27,176,450,Medium,0.17,None
33,76,169,496,High,0.06,Co-signer
34,95,12,846,Low,0.03,Insurance
35,30,32,371,High,0.09,Co-signer
36,40,39,391,Medium,0.06,Collateral
37,52,124,395,Medium,0.19,Co-signer
38,22,164,824,Low,0.03,Co-signer
39,28,132,329,High,0.05,None
40,97,98,454,High,0.05,Co-signer
41,13,59,394,Medium,0.16,Insurance
42,39,60,837,Medium,0.09,Insurance
43,4,80,457,Medium,0.3,Co-signer
44,26,38,349,Low,0.14,Collateral
45,66,67,690,High,0.04,Collateral
46,47,65,377,Low,0.27,None
47,25,17,668,High,0.26,Co-signer
48,30,131,664,Low,0.15,Insurance
49,73,34,657,Low,0.06,Insurance
50,91,31,308,High,0.27,None
51,61,93,620,Low,0.22,Collateral
52,41,15,396,Medium,0.29,Insurance
53,36,169,738,High,0.23,Collateral
54,33,154,394,High,0.15,Insurance
55,43,35,641,High,0.26,None
56,69,35,514,Low,0.07,None
57,97,28,732,High,0.19,Insurance
58,73,199,639,Low,0.14,Insurance
59,86,193,791,Medium,0.27,None
60,88,178,359,Medium,0.1,Insurance
61,57,75,747,High,0.22,Insurance
62,41,69,556,Medium,0.22,Collateral
63,42,33,302,Low,0.13,None
64,73,25,358,Low,0.22,None
65,20,82,393,Low,0.18,Insurance
66,48,76,751,Medium,0.04,Collateral
67,50,46,641,High,0.04,Insurance
68,17,193,762,High,0.05,Insurance
69,98,73,559,High,0.04,None
70,44,28,398,Medium,0.2,Insurance
71,79,39,375,Low,0.21,Co-signer
72,53,135,336,Low,0.15,Co-signer
73,83,70,697,Low,0.29,Co-signer
74,47,137,834,Medium,0.21,Co-signer
75,98,12,587,High,0.05,Insurance
76,68,165,314,High,0.09,Insurance
77,79,164,511,Low,0.25,Collateral
78,11,56,452,Low,0.15,Insurance
79,6,191,533,Medium,0.11,Collateral
80,83,160,414,High,0.27,Co-signer
81,64,147,790,High,0.16,Collateral
82,21,101,569,Low,0.14,None
83,17,54,384,Low,0.2,Collateral
84,73,186,678,High,0.29,Insurance
85,61,95,805,High,0.26,Co-signer
86,35,175,806,Low,0.2,Insurance
87,55,19,599,Low,0.28,Collateral
88,38,160,374,High,0.03,Collateral
89,7,174,509,Medium,0.23,None
90,61,195,541,Medium,0.03,None
91,5,171,718,High,0.18,Co-signer
92,33,70,336,High,0.2,Collateral
93,41,102,514,Low,0.03,Co-signer
94,98,120,653,High,0.22,Collateral
95,51,68,775,Medium,0.12,Insurance
96,42,23,453,High,0.01,None
97,96,176,784,Medium,0.29,None
98,18,173,816,Low,0.09,Co-signer
99,79,112,598,High,0.2,None
100,46,46,774,High,0.29,Collateral
101,32,99,801,High,0.21,None
102,4,48,437,Low,0.02,Insurance
103,23,85,795,High,0.03,None
104,70,139,422,Medium,0.28,Insurance
105,30,8,413,Medium,0.26,None
106,69,23,385,Medium,0.16,Co-signer
107,60,74,640,High,0.24,Co-signer
108,65,10,413,High,0.28,Co-signer
109,30,120,743,High,0.17,Collateral
110,59,171,530,High,0.21,Collateral
111,91,95,769,Medium,0.05,Insurance
112,75,47,720,High,0.16,Collateral
113,13,199,833,Medium,0.22,None
114,44,77,409,Medium,0.12,None
115,94,148,349,High,0.01,Insurance
116,4,46,452,Medium,0.03,Co-signer
117,44,163,356,High,0.15,Collateral
118,29,156,363,Medium,0.28,None
119,85,34,508,Medium,0.12,Co-signer
120,6,126,735,High,0.19,None
121,51,166,792,High,0.11,None
122,94,116,531,High,0.16,Co-signer
123,88,122,706,High,0.21,Co-signer
124,20,58,476,Low,0.09,None
125,61,68,649,Medium,0.13,Insurance
126,60,109,784,Medium,0.17,Co-signer
127,9,106,655,Low,0.17,Collateral
128,61,43,810,High,0.28,Insurance
129,72,122,622,Low,0.15,Insurance
130,58,58,306,Medium,0.02,None
131,30,8,316,Low,0.01,Collateral
132,65,24,529,Low,0.18,None
133,37,91,431,High,0.3,Collateral
134,74,137,592,High,0.27,Collateral
135,56,19,411,Low,0.21,Insurance
136,27,173,308,Medium,0.29,Co-signer
137,38,174,803,High,0.08,None
138,95,31,317,Medium,0.2,Co-signer
139,99,134,742,Low,0.07,Co-signer
140,85,186,608,Medium,0.02,Co-signer
141,3,56,782,Low,0.23,Collateral
142,65,198,426,Low,0.19,Insurance
143,96,124,641,High,0.07,Co-signer
144,69,120,417,Medium,0.29,None
145,17,26,482,Medium,0.12,None
146,96,103,562,Low,0.01,Insurance
147,66,52,357,Low,0.23,Co-signer
148,35,173,761,Medium,0.02,Collateral
149,55,165,756,Medium,0.11,Insurance
150,52,89,411,High,0.03,Insurance
151,51,75,825,Medium,0.1,Insurance
152,14,69,400,Medium,0.14,Collateral
153,63,111,639,Medium,0.05,Insurance
154,91,5,338,High,0.06,None
155,86,108,338,Low,0.22,None
156,40,6,601,High,0.25,Insurance
157,78,168,336,High,0.01,Co-signer
158,31,53,769,Medium,0.05,Insurance
159,2,40,482,High,0.15,None
160,34,35,446,Medium,0.24,Collateral
161,34,1,530,Medium,0.24,Insurance
162,34,117,523,High,0.04,Collateral
163,21,19,494,High,0.08,Insurance
164,46,18,442,Medium,0.21,Collateral
165,42,144,417,Low,0.15,Insurance
166,45,112,687,High,0.15,Co-signer
167,75,64,762,Low,0.25,Collateral
168,61,153,433,Low,0.19,Insurance
169,23,197,605,Low,0.26,Collateral
170,99,184,375,Low,0.15,Insurance
171,79,121,434,Medium,0.29,Insurance
172,31,164,553,Low,0.26,Co-signer
173,87,62,515,Low,0.1,Insurance
174,59,73,455,Medium,0.14,None
175,42,129,500,Medium,0.03,None
176,15,153,623,Medium,0.23,Collateral
177,76,16,325,High,0.11,Collateral
178,50,16,607,Medium,0.16,Insurance
179,25,19,389,Low,0.3,None
180,78,161,508,Medium,0.22,Insurance
181,91,18,798,Medium,0.22,Co-signer
182,69,86,601,High,0.2,Co-signer
183,90,144,674,Low,0.07,Collateral
184,41,158,560,Medium,0.15,Collateral
185,96,152,512,High,0.29,None
186,70,199,607,High,0.02,Insurance
187,72,148,576,Medium,0.29,Insurance
188,100,79,742,Medium,0.14,Co-signer
189,51,51,645,Low,0.25,None
190,21,125,702,Medium,0.28,Co-signer
191,15,45,416,High,0.07,None
192,74,35,762,High,0.2,None
193,2,195,544,Medium,0.17,Collateral
194,21,26,658,High,0.18,None
195,98,103,563,Low,0.12,Insurance
196,28,28,695,Low,0.3,Insurance
197,39,193,605,Low,0.28,Co-signer
198,91,151,675,High,0.17,Insurance
199,9,57,507,Low,0.26,Insurance
200,51,16,809,High,0.02,Collateral
